hole_uid,source_id,native_id,company,project,jurisdiction,lat,lon,easting,northing,utm_zone,utm_hemi,datum,elev_m,azimuth,dip,depth_m,year_drilled,has_assay,assay_flags,report_ref,url
gov:nb:70-068,gov:nb,70-068,,Yes,New Brunswick,45.85160054354389,-67.03535946244351,,,,,NAD83,,166.0,-55.0,157.8864,1970.0,0,,470192,
gov:nb:73-016,gov:nb,73-016,,Yes,New Brunswick,45.85163647163385,-67.03537268490696,,,,,NAD83,,,-90.0,139.601448,1976.0,0,,470194,
gov:nb:70-060,gov:nb,70-060,,Yes,New Brunswick,45.85169215255684,-67.03501269784914,,,,,NAD83,,166.0,-55.0,188.6712,1970.0,0,,470192,
gov:nb:73-011,gov:nb,73-011,,Yes,New Brunswick,45.85154480082787,-67.0357323238007,,,,,NAD83,,,-90.0,181.099968,1974.0,0,,470194,
gov:nb:76-021,gov:nb,76-021,,Yes,New Brunswick,45.85145454865653,-67.03959419616505,,,,,NAD83,,90.0,-75.0,137.199624,1976.0,0,,470196,
gov:nb:75-022,gov:nb,75-022,,Yes,New Brunswick,45.85143850984624,-67.03918201430606,,,,,NAD83,,180.0,-80.0,163.09848,1976.0,0,,470196,
gov:nb:76-023,gov:nb,76-023,,Yes,New Brunswick,45.85173346128735,-67.03959690821829,,,,,NAD83,,90.0,-75.0,140.198856,1976.0,0,,470196,
gov:nb:70-061,gov:nb,70-061,,Yes,New Brunswick,45.85088858192032,-67.0394084334494,,,,,NAD83,,,-90.0,104.8512,1970.0,0,,470192,
gov:nb:75-050,gov:nb,75-050,,Yes,New Brunswick,45.8514327611581,-67.04039228444061,,,,,NAD83,,182.0,-75.0,114.3,1976.0,0,,470196,
gov:nb:75-051,gov:nb,75-051,,Yes,New Brunswick,45.8514327611581,-67.04039228444061,,,,,NAD83,,,,121.999248,1976.0,0,,470196,
gov:nb:70-065,gov:nb,70-065,,Yes,New Brunswick,45.852261526058605,-67.03828869101518,,,,,NAD83,,166.0,-55.0,208.788,1970.0,0,,470192,
gov:nb:75-036,gov:nb,75-036,,Yes,New Brunswick,45.85224576507383,-67.0340008318302,,,,,NAD83,,190.0,-75.0,202.399392,1976.0,0,,470196,
gov:nb:75-038,gov:nb,75-038,,Yes,New Brunswick,45.852218773511474,-67.03400057209029,,,,,NAD83,,190.0,-50.0,173.800008,1976.0,0,,470196,
gov:nb:75-021,gov:nb,75-021,,Yes,New Brunswick,45.85254448664731,-67.033617424565,,,,,NAD83,,183.0,-85.0,234.098592,1976.0,0,,470196,
gov:nb:75-023,gov:nb,75-023,,Yes,New Brunswick,45.852542672256206,-67.03400368898987,,,,,NAD83,,183.0,-80.0,219.498672,1976.0,0,,470196,
gov:nb:75-024,gov:nb,75-024,,Yes,New Brunswick,45.85280877334885,-67.0348174455765,,,,,NAD83,,183.0,-70.0,213.0,1976.0,0,,470196,
gov:nb:75-034,gov:nb,75-034,,Yes,New Brunswick,45.85253742336272,-67.03320532269251,,,,,NAD83,,185.0,-70.0,200.29932,1976.0,0,,470196,
gov:nb:75-035,gov:nb,75-035,,Yes,New Brunswick,45.85253742336272,-67.03320532269251,,,,,NAD83,,180.0,-50.0,195.998592,1976.0,0,,470196,
gov:nb:75-027,gov:nb,75-027,,Yes,New Brunswick,45.8520174554458,-67.04042373014602,,,,,NAD83,,,,141.8,1976.0,0,,470196,
gov:nb:75-049,gov:nb,75-049,,Yes,New Brunswick,45.85214176225964,-67.04077259201766,,,,,NAD83,,182.0,-75.0,174.400464,1976.0,0,,470196,
gov:nb:75-033,gov:nb,75-033,,Yes,New Brunswick,45.85226392132994,-67.04157209459214,,,,,NAD83,,180.0,-70.0,146.300952,1976.0,0,,470196,
gov:nb:75-054,gov:nb,75-054,,Yes,New Brunswick,45.85201153098938,-67.04355252684188,,,,,NAD83,,182.0,-70.0,112.599216,1976.0,0,,470196,
gov:nb:70-058,gov:nb,70-058,,Yes,New Brunswick,45.85118064410024,-67.03853572138438,,,,,NAD83,,,-90.0,149.352,1970.0,0,,470192,
gov:nb:75-053,gov:nb,75-053,,Yes,New Brunswick,45.851996335131275,-67.03918743430062,,,,,NAD83,,182.0,-75.0,186.199272,1976.0,0,,470196,
